tweet_id,favorite_count,retweet_count,retweet_status,url
884162670584377345,18146,2518,Original tweet,https://t.co/YSI00BzTBZ
883838122936631299,19394,2893,Original tweet,https://t.co/V85xujjDDY
883482846933004288,40684,8361,Original tweet,https://t.co/qjrljjt948
883360690899218434,20172,3112,Original tweet,https://t.co/rf661IFEYP
883117836046086144,32879,5589,Original tweet,https://t.co/Se5fZ9wp5E
882992080364220416,21210,3270,Original tweet,https://t.co/tyER0KpdXj
882762694511734784,25044,4136,Original tweet,https://t.co/D43I96SlVu
882627270321602560,24876,5122,Original tweet,https://t.co/Nx52PGwH94
882268110199369728,39597,9762,Original tweet,https://t.co/fYP5RlutfA
882045870035918850,26052,4126,Original tweet,https://t.co/zeDpnsKX7w
881906580714921986,21679,2882,Original tweet,https://t.co/503CgWbhxQ
881666595344535552,45040,9055,Original tweet,https://t.co/7CSWCl8I6s
881633300179243008,113,8,Original tweet,s
881536004380872706,43911,13548,Original tweet,https://t.co/ghXBIIeQZF
881268444196462592,20708,4531,Original tweet,https://t.co/cgwJwowTMC
880935762899988482,15223,2362,Original tweet,https://t.co/D0wb1GlKAt
880872448815771648,18947,3238,Original tweet,https://t.co/WiAMbTkDPf
880465832366813184,25271,5271,Original tweet,https://t.co/4VsFysDmiw
880221127280381952,23910,3514,Original tweet,https://t.co/fUod0tVmvK
880095782870896641,24606,3697,Original tweet,https://t.co/HauE8M3Bu4
879862464715927552,19918,2953,Original tweet,https://t.co/Qh5aEkRQm9
879674319642796034,282,9,Original tweet,d
879492040517615616,20936,2661,Original tweet,https://t.co/IxM9IMKQq8
879415818425184262,93862,37869,Original tweet,https://t.co/UDT7ZkcTgY
879376492567855104,15018,2673,Original tweet,https://t.co/0gOi601EAa
879130579576475649,0,5796,Original tweet,https://…
879050749262655488,20050,3989,Original tweet,https://t.co/2mJCDEJWdD
879008229531029506,16971,2268,Original tweet,https://t.co/YDtpCjIPKN
878776093423087618,17342,3483,Original tweet,https://t.co/lNZwgNO4gS
878604707211726852,26736,5994,Original tweet,https://t.co/9uABQXgjwa
878404777348136964,0,1084,Original tweet,https:/…
878316110768087041,0,5597,Original tweet,https://t.co/i…
878281511006478336,6873,1084,Original tweet,https://t.co/245xJJElsY https://t.co/lUiQH219v6
878057613040115712,37555,5796,Original tweet,https://t.co/cwtWnHMVpe
877736472329191424,70102,15998,Original tweet,https://t.co/lsPyyAiF1r
877611172832227328,0,70,Original tweet,https://t.co/dJx4Gzc50G
877556246731214848,20170,3203,Original tweet,https://t.co/OYdDlfOGXP
877316821321428993,24426,4398,Original tweet,https://t.co/SHRTIo5pxc
877201837425926144,24119,4686,Original tweet,https://t.co/4g4cfj3P4Y
876838120628539392,18431,2837,Original tweet,https://t.co/j211oCDRs6
876537666061221889,21289,4021,Original tweet,https://t.co/8yoc1CNTsu
876484053909872640,16745,2023,Original tweet,https://t.co/26BXueUgbs
876120275196170240,24965,3951,Original tweet,https://t.co/ejExJFq3ek
875747767867523072,22396,3616,Original tweet,https://t.co/V2WlACRJCN
875144289856114688,19615,4195,Original tweet,https://t.co/ogith9ejNj
875097192612077568,24524,5181,Original tweet,https://t.co/PFp4MghzBW
875021211251597312,22810,4020,Original tweet,https://t.co/brCQoqc8AW
874680097055178752,24885,3969,Original tweet,https://t.co/lZhtizkURD
874434818259525634,0,12348,Original tweet,https://t.c…
874296783580663808,23256,3520,Original tweet,https://t.co/0YplNnSMEm
874057562936811520,20355,3418,Original tweet,https://t.co/pwY9PQhtP2
874012996292530176,30483,8663,Original tweet,https://t.co/XBE0evJZ6V
873580283840344065,21660,3375,Original tweet,https://t.co/mNuMH9400n
873337748698140672,0,1340,Original tweet,https:/…
873213775632977920,6387,1340,Original tweet,https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ
872967104147763200,24334,4607,Original tweet,https://t.co/EMYIdoblMR
872820683541237760,13210,3196,Original tweet,https://t.co/17FVMl4VZ5
872620804844003328,18564,3102,Original tweet,https://t.co/lUcpnZDPz9
872486979161796608,36516,7796,Original tweet,https://t.co/BZHiKx3FpQ
872122724285648897,30578,6928,Original tweet,https://t.co/PKSpmiefwN
871879754684805121,33501,9338,Original tweet,https://t.co/uK6PNyeh9w
871762521631449091,18103,3001,Original tweet,https://t.co/AiVljI6QCg
871515927908634625,18107,2983,Original tweet,https://t.co/PR7B7w1rUw
871166179821445120,0,4945,Original tweet,https://t.co/X…
871102520638267392,18760,4743,Original tweet,https://t.co/AbBLh2FZCH
871032628920680449,20390,3267,Original tweet,https://t.co/noNpY2Laoo
870804317367881728,30150,5327,Original tweet,https://t.co/GCD1JccCyi
870726314365509632,106,3,Original tweet,s
870656317836468226,11008,2230,Original tweet,https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4
870374049280663552,74819,23019,Original tweet,https://t.co/T1xlgaPujm
870308999962521604,19715,3579,Original tweet,https://t.co/MVQCzrF1g9
870063196459192321,32763,7164,Original tweet,https://t.co/apVOyDgOju
869772420881756160,38410,8782,Original tweet,https://t.co/HciEaJkC4D
869702957897576449,25339,5442,Original tweet,https://t.co/vmCu3PFCQq
869596645499047938,14363,2662,Original tweet,https://t.co/DsA2hwXAJo
869227993411051520,18342,3238,Original tweet,https://t.co/IoR3n1fiiQ
